         2344 function calls (2322 primitive calls) in 3.221 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/synchronize.py:161(__init__)
        2    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/synchronize.py:50(__init__)
        1    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/pool.py:644(close)
        1    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/joblib/parallel.py:669(__init__)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(array_split)
        1    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/numpy/lib/shape_base.py:739(array_split)
       11    0.000    0.000    0.000    0.000 {built-in method posix.write}
        4    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/resource_tracker.py:153(_send)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        2    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/synchronize.py:84(_cleanup)
       23    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/threading.py:505(__init__)
       26    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/threading.py:222(__init__)
        3    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/connection.py:181(send_bytes)
        2    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/codeop.py:142(__call__)
       23    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/resource_tracker.py:149(unregister)
        3    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/reduction.py:48(dumps)
        1    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/numpy/core/numeric.py:150(ones)
       11    0.000    0.000    0.000    0.000 /var/folders/3x/7hfm4_jj7zl66x1wm_x_2f5h0000gn/T/ipykernel_53080/2997250002.py:30(<genexpr>)
       12    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/queue.py:153(get)
       10    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/pool.py:450(apply_async)
        2    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/joblib/externals/loky/backend/__init__.py:7(_make_name)
        3    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/connection.py:390(_send_bytes)
        3    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/synchronize.py:94(__enter__)
        1    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/joblib/_utils.py:19(eval_expr)
       10    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/joblib/parallel.py:347(delayed)
        2    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/tempfile.py:144(__next__)
        3    0.000    0.000    0.000    0.000 {method '__enter__' of '_multiprocessing.SemLock' objects}
        4    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/resource_tracker.py:70(ensure_running)
       23    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/threading.py:258(_acquire_restore)
       10    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/pool.py:744(__init__)
        3    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/connection.py:365(_send)
        3    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/reduction.py:38(__init__)
        4    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/resource_tracker.py:134(_check_alive)
       10    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/queue.py:121(put)
        2    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/tempfile.py:147(<listcomp>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
       16    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/random.py:285(choice)
       11    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(swapaxes)
        2    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/resource_tracker.py:145(register)
       10    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/functools.py:34(update_wrapper)
        1    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/ast.py:30(parse)
       43    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/threading.py:261(_is_owned)
       47    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      128    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       45    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/threading.py:246(__enter__)
       20    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/threading.py:341(notify)
      112    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_2d)
    51/44    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/connection.py:516(Pipe)
       10    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/pool.py:753(ready)
       45    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/threading.py:249(__exit__)
       16    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/random.py:250(_randbelow_with_getrandbits)
        1    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/uuid.py:780(uuid4)
        1    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/joblib/parallel.py:199(__init__)
        3    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/scipy/linalg/blas.py:384(getter)
        1    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/context.py:41(cpu_count)
       11    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:550(swapaxes)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
       39    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/threading.py:1306(current_thread)
        2    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/util.py:171(register_after_fork)
        2    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/numpy/core/shape_base.py:81(atleast_2d)
        3    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/os.py:678(__setitem__)
        1    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/queue.py:33(__init__)
       13    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/_weakrefset.py:81(add)
       11    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
      3/1    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/joblib/_utils.py:36(eval_)
        3    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/contextlib.py:238(helper)
        1    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/joblib/logger.py:39(short_format_time)
        1    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/pool.py:940(_help_stuff_finish)
        1    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        2    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/weakref.py:159(__setitem__)
        1    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/joblib/parallel.py:89(get_active_backend)
        2    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/connection.py:130(__del__)
       10    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/weakref.py:343(__init__)
        1    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/uuid.py:132(__init__)
       23    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/threading.py:255(_release_save)
        3    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/contextlib.py:117(__exit__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        2    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/connection.py:360(_close)
        3    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/scipy/linalg/_basic.py:23(_solve_check)
       10    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/joblib/_parallel_backends.py:124(get_nested_backend)
        3    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/contextlib.py:82(__init__)
       21    0.000    0.000    0.000    0.000 {method 'put' of '_queue.SimpleQueue' objects}
       13    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/threading.py:734(_newname)
        1    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       10    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        3    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/multiprocessing/util.py:186(__init__)
       10    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/joblib/parallel.py:271(__init__)
       13    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/_weakrefset.py:38(_remove)
        1    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/joblib/logger.py:23(_squeeze_time)
        2    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/abc.py:96(__instancecheck__)
        1    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/joblib/_parallel_backends.py:280(__init__)
       11    0.000    0.000    0.000    0.000 {method 'swapaxes' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/joblib/_parallel_backends.py:34(__init__)
        1    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/site-packages/joblib/disk.py:42(memstr_to_bytes)
       13    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/threading.py:1110(daemon)
        3    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/contextlib.py:108(__enter__)
       40    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/threading.py:513(is_set)
       45    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       28    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        3    0.000    0.000    0.000    0.000 {built-in method posix.putenv}
       13    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/threading.py:1177(_make_invoke_excepthook)
        3    0.000    0.000    0.000    0.000 {method 'dump' of '_pickle.Pickler' objects}
       17    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method posix.close}
        3    0.000    0.000    0.000    0.000 /Users/sm_aswin21/tensorflow-test/env/lib/python3.8/threading.py:944(_stop)
       33    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
